"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","metric_clustered","block_4",500,500,"auction_scaled","jv","default",3,0.003024939,0.002855568,0.0035227815
"base","metric_clustered","block_4",500,5000,"auction_scaled","jv","default",3,4.603256,4.48247,4.6296245
"base","metric_clustered","none",500,1500,"auction_scaled","jv","default",3,0.3500117,0.3408236,0.3787393
"base","metric_clustered","none",500,500,"auction_scaled","jv","default",3,0.007693486,0.007494513,0.0082855055
"base","metric_clustered","none",500,5000,"auction_scaled","jv","default",3,4.091192,4.0864635,4.5295785
"base","metric_clustered","random_01",500,1500,"auction_scaled","jv","default",3,0.4905607,0.44647555,0.50917125
"base","metric_clustered","random_01",500,500,"auction_scaled","jv","default",3,0.001735407,0.0015280905,0.0017732705
"base","metric_clustered","random_01",500,5000,"auction_scaled","jv","default",3,5.688964,5.2768005,5.751867
"base","metric_clustered","random_05",500,1500,"auction_scaled","jv","default",3,0.4052654,0.36998375,0.4684644
"base","metric_clustered","random_05",500,500,"auction_scaled","jv","default",3,0.002539663,0.002438475,0.003125717
"base","metric_clustered","random_05",500,5000,"auction_scaled","jv","default",3,4.628013,4.514707,5.0883735
"base","metric_clustered","random_25",500,1500,"auction_scaled","jv","default",3,0.3405143,0.32878875,0.35826905
"base","metric_clustered","random_25",500,500,"auction_scaled","jv","default",3,0.00494624,0.0049417095,0.004956572
"base","metric_clustered","random_25",500,5000,"auction_scaled","jv","default",3,4.12762,4.0643675,4.9475715
"base","metric_clustered","random_60",500,1500,"auction_scaled","jv","default",3,0.3485877,0.3448218,0.3766812
"base","metric_clustered","random_60",500,500,"auction_scaled","jv","default",3,0.007884505,0.007766835,0.0081439735
"base","metric_clustered","random_60",500,5000,"auction_scaled","jv","default",3,4.251221,4.121476,4.296271
"base","metric_uniform","block_4",500,1500,"auction_scaled","jv","default",3,0.3224889,0.30487245,0.33323365
"base","metric_uniform","block_4",500,500,"auction_scaled","jv","default",3,0.002489848,0.002472054,0.0026043405
"base","metric_uniform","block_4",500,5000,"auction_scaled","jv","default",3,4.261526,4.141949,4.73471
"base","metric_uniform","none",500,1500,"auction_scaled","jv","default",3,0.3281056,0.3059309,0.35127375
"base","metric_uniform","none",500,500,"auction_scaled","jv","default",3,0.006961718,0.0069167205,0.00706061
"base","metric_uniform","none",500,5000,"auction_scaled","jv","default",3,3.963299,3.9486845,4.0888805
"base","metric_uniform","random_01",500,1500,"auction_scaled","jv","default",3,0.3376791,0.3287503,0.3451909
"base","metric_uniform","random_01",500,500,"auction_scaled","jv","default",3,0.001795554,0.0017811835,0.0022764225
"base","metric_uniform","random_01",500,5000,"auction_scaled","jv","default",3,4.499531,4.4546495,4.7874395
"base","metric_uniform","random_05",500,1500,"auction_scaled","jv","default",3,0.2888018,0.2878973,0.2979053
"base","metric_uniform","random_05",500,500,"auction_scaled","jv","default",3,0.002310145,0.0022854015,0.002316623
"base","metric_uniform","random_05",500,5000,"auction_scaled","jv","default",3,4.06263,3.8978295,4.358098
"base","metric_uniform","random_25",500,1500,"auction_scaled","jv","default",3,0.2966448,0.29652915,0.30116025
"base","metric_uniform","random_25",500,500,"auction_scaled","jv","default",3,0.004113243,0.0040609885,0.004229929
"base","metric_uniform","random_25",500,5000,"auction_scaled","jv","default",3,3.989248,3.887124,4.187245
