"tier","regime","pattern","n_rows","n_cols","cost_type","distribution","metric","components","finite_share","auto_method","auto_rule","auto_condition"
"large","binary","none",1500,1500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_25",1500,1500,"binary","binary",FALSE,1,0.2507,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_01",1500,1500,"binary","binary",FALSE,1,0.0107,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","none",1500,1500,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_25",1500,1500,"double","heavy-tailed",FALSE,1,0.2501,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_01",1500,1500,"double","heavy-tailed",FALSE,1,0.0107,"jv","default","no earlier rule applies"
"large","metric_clustered","none",1500,1500,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"large","metric_clustered","random_25",1500,1500,"double","clustered",TRUE,1,0.2508,"jv","default","no earlier rule applies"
"large","metric_clustered","random_01",1500,1500,"double","clustered",TRUE,1,0.0107,"jv","default","no earlier rule applies"
"large","int_uniform","none",1500,4500,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","int_uniform","random_25",1500,4500,"integer","uniform",FALSE,1,0.2502,"jv","default","no earlier rule applies"
"large","int_uniform","random_01",1500,4500,"integer","uniform",FALSE,1,0.0102,"jv","default","no earlier rule applies"
"large","dbl_uniform","none",1500,4500,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_25",1500,4500,"double","uniform",FALSE,1,0.2502,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_01",1500,4500,"double","uniform",FALSE,1,0.0102,"jv","default","no earlier rule applies"
"large","binary","none",1500,4500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_25",1500,4500,"binary","binary",FALSE,1,0.2501,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_01",1500,4500,"binary","binary",FALSE,1,0.0102,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","none",1500,4500,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_25",1500,4500,"double","heavy-tailed",FALSE,1,0.2498,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_01",1500,4500,"double","heavy-tailed",FALSE,1,0.0102,"jv","default","no earlier rule applies"
"large","metric_clustered","none",1500,4500,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"large","metric_clustered","random_25",1500,4500,"double","clustered",TRUE,1,0.2503,"jv","default","no earlier rule applies"
"large","metric_clustered","random_01",1500,4500,"double","clustered",TRUE,1,0.0102,"jv","default","no earlier rule applies"
"large","int_uniform","none",1000,10000,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","int_uniform","random_25",1000,10000,"integer","uniform",FALSE,1,0.2502,"jv","default","no earlier rule applies"
"large","int_uniform","random_01",1000,10000,"integer","uniform",FALSE,1,0.0101,"jv","default","no earlier rule applies"
"large","dbl_uniform","none",1000,10000,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_25",1000,10000,"double","uniform",FALSE,1,0.2501,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_01",1000,10000,"double","uniform",FALSE,1,0.0101,"jv","default","no earlier rule applies"
"large","binary","none",1000,10000,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_25",1000,10000,"binary","binary",FALSE,1,0.2499,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","binary","random_01",1000,10000,"binary","binary",FALSE,1,0.0101,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"large","heavy_tailed","none",1000,10000,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_25",1000,10000,"double","heavy-tailed",FALSE,1,0.2503,"jv","default","no earlier rule applies"
"large","heavy_tailed","random_01",1000,10000,"double","heavy-tailed",FALSE,1,0.0101,"jv","default","no earlier rule applies"
"large","metric_clustered","none",1000,10000,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"large","metric_clustered","random_25",1000,10000,"double","clustered",TRUE,1,0.2501,"jv","default","no earlier rule applies"
"large","metric_clustered","random_01",1000,10000,"double","clustered",TRUE,1,0.0101,"jv","default","no earlier rule applies"
