"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","none",500,500,3,75350318,"csa",2,0.01008313,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"csa",3,0.009917736,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"csflow",1,0.02238924,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"csflow",2,0.02082406,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"csflow",3,0.02142861,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"network_simplex",1,0.1012078,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"network_simplex",2,0.09954251,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,3,75350318,"network_simplex",3,0.09990888,"ok",16505,500,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","random_60",500,500,1,532951458,"auto",1,0.01078386,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"auto",2,0.009938646,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"auto",3,0.009966649,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"jv",1,0.009834957,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"jv",2,0.0092086,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"jv",3,0.009160343,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"sap",1,0.01962645,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"sap",2,0.0176539,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"sap",3,0.01771712,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"sap_dense",1,0.02127076,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"sap_dense",2,0.02058577,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"sap_dense",3,0.02032899,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"lapmod",1,0.01427526,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"lapmod",2,0.0134908,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"lapmod",3,0.01352242,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"ramshaw_tarjan",1,0.02429968,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
