"n_total","shape","point","max_distance","status","cold_status","n_matched","cold_n_matched","warm_s","cold_s","warm_rounds","cold_rounds","warm_evaluated","cold_evaluated","pairs_added","candidate_edges","total_distance","cold_total_distance"
20000,"6667 x 13333",4,3.03077909944851,"optimal","optimal",6667,6667,2.122993625,4.473573417,1,2,15098170,30258893,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",5,3.08617552664304,"optimal","optimal",6667,6667,2.139581167,4.490738584,1,2,16445095,32969095,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",6,3.14157195383758,"optimal","optimal",6667,6667,2.152840875,4.52702875,1,2,17858401,35815215,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",7,3.19696838103211,"optimal","optimal",6667,6667,2.161098916,4.56921425,1,2,19338570,38798769,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",8,3.25236480822665,"optimal","optimal",6667,6667,2.179498958,4.590821208,1,2,20888823,41926495,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",9,3.30776123542118,"optimal","optimal",6667,6667,2.187791375,4.617247458,1,2,22504390,45189480,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",10,3.36315766261572,"optimal","optimal",6667,6667,2.19520325,4.650104959,1,2,24179025,48575688,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",11,3.41855408981025,"optimal","optimal",6667,6667,2.207558458,4.672184458,1,2,25912184,52085218,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",12,3.47395051700479,"optimal","optimal",6667,6667,2.218657542,4.706050125,1,2,27696019,55702688,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",13,3.52934694419932,"optimal","optimal",6667,6667,2.224046041,4.714324041,1,2,29519506,59406214,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",14,3.58474337139386,"optimal","optimal",6667,6667,2.2391585,4.741227708,1,2,31377130,63185422,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",15,3.64013979858839,"optimal","optimal",6667,6667,2.242724667,4.768290667,1,2,33261498,67026918,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",16,3.69553622578293,"optimal","optimal",6667,6667,2.245756375,4.778632542,1,2,35160472,70905930,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",17,3.75093265297746,"optimal","optimal",6667,6667,2.258336125,4.78937375,1,2,37067172,74810270,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",18,3.806329080172,"optimal","optimal",6667,6667,2.253481958,4.808253333,1,2,38971826,78719807,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",19,3.86172550736654,"optimal","optimal",6667,6667,2.253914209,4.820667416,1,2,40861639,82609614,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",20,3.91712193456107,"optimal","optimal",6667,6667,2.263610667,4.821581417,1,2,42732282,86470989,0,556349,5515.91608475411,5515.91608475411
