"tier","regime","pattern","shape","auto_rule","auto_picks","auto_s","picked_s","best_method","best_s","ratio","picked_ratio"
"base","constant","random_01","500 x 500","no_cost_scale","hk01",0.0018,0.0015,"hk01",0.0015,1.21,1
"base","int_uniform","random_60","500 x 1500","default","jv",0.0107,0.0098,"hungarian",0.0088,1.21,1.11
"large","metric_clustered","random_25","1500 x 4500","default","jv",0.0992,0.0828,"jv",0.0828,1.2,1
"base","dbl_uniform","random_01","500 x 5000","default","jv",0.0165,0.0166,"csflow",0.0138,1.19,1.2
"large","metric_clustered","random_01","1000 x 10000","default","jv",0.0968,0.0823,"jv",0.0823,1.18,1
"base","metric_clustered","random_60","500 x 5000","default","jv",0.0317,0.0271,"jv",0.0271,1.17,1
"base","heavy_tailed","random_25","500 x 1500","default","jv",0.0098,0.0097,"lapmod",0.0084,1.16,1.15
"large","heavy_tailed","random_01","1500 x 4500","default","jv",0.0737,0.0644,"jv",0.0644,1.15,1
"large","dbl_uniform","random_25","1000 x 10000","default","jv",0.1274,0.1115,"jv",0.1115,1.14,1
"base","metric_clustered","random_25","500 x 5000","default","jv",0.0261,0.0237,"jv",0.0237,1.1,1
"base","binary","none","500 x 500","no_cost_scale","hk01",0.0042,0.0038,"hk01",0.0038,1.09,1
"base","metric_uniform","none","500 x 500","default","jv",0.0066,0.0061,"jv",0.0061,1.09,1
"large","dbl_uniform","random_01","1000 x 10000","default","jv",0.1036,0.0949,"jv",0.0949,1.09,1
"base","binary","random_01","500 x 5000","no_cost_scale","hk01",0.0165,0.0152,"hk01",0.0152,1.08,1
"large","metric_clustered","none","1000 x 10000","default","jv",0.0826,0.0766,"jv",0.0766,1.08,1
"base","int_uniform","random_60","500 x 500","default","jv",0.0097,0.0092,"auction_scaled",0.009,1.07,1.02
"large","metric_clustered","random_25","1000 x 10000","default","jv",0.12,0.1126,"jv",0.1126,1.07,1
"base","dbl_uniform","block_4","500 x 500","default","jv",0.004,0.0044,"auction_scaled",0.0038,1.06,1.14
"large","int_uniform","none","1500 x 1500","default","jv",0.0472,0.0446,"jv",0.0446,1.06,1
"large","metric_clustered","random_25","1500 x 1500","default","jv",0.1571,0.1566,"sap",0.1479,1.06,1.06
"base","int_uniform","none","500 x 500","default","jv",0.0049,0.0047,"jv",0.0047,1.05,1
"large","int_uniform","random_25","1500 x 4500","default","jv",0.0835,0.0793,"jv",0.0793,1.05,1
"large","metric_clustered","random_01","1500 x 4500","default","jv",0.0722,0.069,"jv",0.069,1.05,1
"base","heavy_tailed","random_01","500 x 1500","default","jv",0.005,0.005,"csflow",0.0048,1.03,1.03
"base","heavy_tailed","random_25","500 x 5000","default","jv",0.0294,0.0315,"hungarian",0.0285,1.03,1.11
"base","metric_uniform","none","500 x 1500","default","jv",0.004,0.004,"hungarian",0.0039,1.03,1.03
"large","int_uniform","random_25","1500 x 1500","default","jv",0.0996,0.0969,"jv",0.0969,1.03,1
"base","heavy_tailed","block_4","500 x 1500","default","jv",0.0047,0.0047,"hungarian",0.0046,1.02,1.01
"base","heavy_tailed","block_4","500 x 5000","default","jv",0.0123,0.0121,"jv",0.0121,1.02,1
"base","binary","none","500 x 1500","no_cost_scale","hk01",0.011,0.0109,"hk01",0.0109,1.01,1
"base","binary","none","500 x 5000","no_cost_scale","hk01",0.0363,0.0358,"hk01",0.0358,1.01,1
"base","constant","random_05","500 x 1500","no_cost_scale","hk01",0.005,0.005,"hk01",0.005,1.01,1
"base","dbl_uniform","none","500 x 5000","default","jv",0.0115,0.0189,"hungarian",0.0114,1.01,1.66
"base","heavy_tailed","random_05","500 x 5000","default","jv",0.0177,0.0266,"csflow",0.0175,1.01,1.52
"base","int_uniform","none","500 x 5000","default","jv",0.0138,0.0142,"hungarian",0.0137,1.01,1.03
"base","metric_clustered","none","500 x 500","default","jv",0.0066,0.0065,"jv",0.0065,1.01,1
"base","metric_clustered","random_60","500 x 1500","default","jv",0.0113,0.0111,"jv",0.0111,1.01,1
"base","metric_uniform","random_05","500 x 5000","default","jv",0.0178,0.0267,"csflow",0.0176,1.01,1.51
"base","binary","random_60","500 x 500","no_cost_scale","hk01",0.0052,0.0052,"hk01",0.0052,1,1
"base","constant","block_4","500 x 1500","no_cost_scale","hk01",0.0036,0.0036,"hk01",0.0036,1,1
"base","constant","none","500 x 1500","no_cost_scale","hk01",0.005,0.005,"hk01",0.005,1,1
"base","constant","random_05","500 x 500","no_cost_scale","hk01",0.0027,0.0027,"hk01",0.0027,1,1
"base","constant","random_05","500 x 5000","no_cost_scale","hk01",0.0168,0.0168,"hk01",0.0168,1,1
"base","constant","random_25","500 x 500","no_cost_scale","hk01",0.0036,0.0035,"hk01",0.0035,1,1
"base","constant","random_25","500 x 5000","no_cost_scale","hk01",0.0261,0.0259,"hk01",0.0259,1,1
"base","dbl_uniform","random_25","500 x 1500","default","jv",0.0098,0.0098,"jv",0.0098,1,1
"base","heavy_tailed","random_60","500 x 1500","default","jv",0.0106,0.0106,"hungarian",0.0106,1,1
"base","heavy_tailed","random_60","500 x 500","default","jv",0.0094,0.0093,"jv",0.0093,1,1
"base","metric_uniform","none","500 x 5000","default","jv",0.0111,0.0112,"hungarian",0.0111,1,1.01
"base","metric_uniform","random_25","500 x 5000","default","jv",0.0199,0.0199,"jv",0.0199,1,1
"base","metric_uniform","random_60","500 x 1500","default","jv",0.0106,0.0108,"hungarian",0.0106,1,1.01
"large","heavy_tailed","none","1500 x 1500","default","jv",0.0465,0.0465,"jv",0.0465,1,1
"large","heavy_tailed","none","1500 x 4500","default","jv",0.0596,0.0596,"jv",0.0596,1,1
"large","heavy_tailed","random_25","1500 x 1500","default","jv",0.1001,0.1,"jv",0.1,1,1
"large","int_uniform","none","1000 x 10000","default","jv",0.0833,0.0837,"jv",0.0837,1,1
"large","int_uniform","none","1500 x 4500","default","jv",0.0638,0.0637,"jv",0.0637,1,1
"large","int_uniform","random_25","1000 x 10000","default","jv",0.1122,0.1125,"jv",0.1125,1,1
"large","metric_clustered","none","1500 x 1500","default","jv",0.1513,0.1512,"jv",0.1512,1,1
"base","constant","none","500 x 500","no_cost_scale","hk01",0.0018,0.0018,"hk01",0.0018,0.99,1
"base","heavy_tailed","none","500 x 5000","default","jv",0.0114,0.0115,"jv",0.0115,0.99,1
"base","int_uniform","none","500 x 1500","default","jv",0.0047,0.0048,"jv",0.0048,0.99,1
"base","int_uniform","random_25","500 x 1500","default","jv",0.0097,0.0099,"hungarian",0.0099,0.99,1.01
"base","metric_clustered","block_4","500 x 5000","default","jv",0.0122,0.0123,"jv",0.0123,0.99,1
"base","dbl_uniform","random_01","500 x 1500","default","jv",0.0037,0.0077,"csflow",0.0038,0.98,2.02
"large","dbl_uniform","random_01","1500 x 4500","default","jv",0.0723,0.0738,"jv",0.0738,0.98,1
"large","dbl_uniform","random_25","1500 x 4500","default","jv",0.093,0.0992,"lapmod",0.0946,0.98,1.05
"base","dbl_uniform","none","500 x 1500","default","jv",0.004,0.0041,"jv",0.0041,0.97,1
"base","metric_uniform","random_01","500 x 1500","default","jv",0.0038,0.0078,"csflow",0.0039,0.97,2
"large","dbl_uniform","random_25","1500 x 1500","default","jv",0.096,0.0989,"jv",0.0989,0.97,1
"large","heavy_tailed","random_25","1000 x 10000","default","jv",0.1121,0.1158,"jv",0.1158,0.97,1
"large","int_uniform","random_01","1000 x 10000","default","jv",0.0903,0.1019,"sap",0.0935,0.97,1.09
"large","heavy_tailed","random_01","1000 x 10000","default","jv",0.0815,0.0858,"jv",0.0858,0.95,1
"base","heavy_tailed","random_60","500 x 5000","default","jv",0.0253,0.0317,"hungarian",0.0269,0.94,1.18
"base","int_uniform","random_01","500 x 1500","default","jv",0.0037,0.0077,"sap",0.0039,0.94,1.96
"large","dbl_uniform","none","1500 x 1500","default","jv",0.0483,0.0516,"jv",0.0516,0.94,1
"large","metric_clustered","none","1500 x 4500","default","jv",0.0625,0.0661,"jv",0.0661,0.94,1
"base","binary","random_05","500 x 5000","no_cost_scale","hk01",0.0268,0.0288,"hk01",0.0288,0.93,1
"base","constant","random_60","500 x 5000","no_cost_scale","hk01",0.0307,0.0329,"hk01",0.0329,0.93,1
"base","dbl_uniform","random_60","500 x 5000","default","jv",0.0252,0.027,"jv",0.027,0.93,1
"base","heavy_tailed","block_4","500 x 500","default","jv",0.0042,0.0045,"jv",0.0045,0.93,1
"large","dbl_uniform","none","1000 x 10000","default","jv",0.078,0.0838,"jv",0.0838,0.93,1
"large","heavy_tailed","none","1000 x 10000","default","jv",0.0794,0.0854,"jv",0.0854,0.93,1
"large","heavy_tailed","random_25","1500 x 4500","default","jv",0.0943,0.1052,"lapmod",0.1014,0.93,1.04
"base","heavy_tailed","none","500 x 500","default","jv",0.0036,0.004,"jv",0.004,0.9,1
"base","int_uniform","random_05","500 x 5000","default","jv",0.0136,0.0178,"lapmod",0.0155,0.88,1.15
"base","dbl_uniform","random_25","500 x 5000","default","jv",0.024,0.0314,"hungarian",0.0283,0.85,1.11
"base","int_uniform","block_4","500 x 5000","default","jv",0.0121,0.0187,"lapmod",0.0142,0.85,1.31
"large","dbl_uniform","none","1500 x 4500","default","jv",0.0589,0.0699,"jv",0.0699,0.84,1
"base","constant","block_4","500 x 500","no_cost_scale","hk01",0.0016,0.0019,"hk01",0.0019,0.83,1
"base","dbl_uniform","none","500 x 500","default","jv",0.0032,0.0039,"jv",0.0039,0.81,1
"base","binary","random_25","500 x 500","no_cost_scale","hk01",0.0031,0.0039,"hk01",0.0039,0.8,1
"base","metric_clustered","block_4","500 x 1500","default","jv",0.0039,0.0049,"hungarian",0.0048,0.8,1.01
"base","constant","block_4","500 x 5000","no_cost_scale","hk01",0.0121,0.0153,"hk01",0.0153,0.79,1
"base","dbl_uniform","block_4","500 x 5000","default","jv",0.012,0.0152,"hungarian",0.0151,0.79,1.01
"base","int_uniform","random_25","500 x 5000","default","jv",0.0199,0.0254,"jv",0.0254,0.78,1
"base","binary","random_05","500 x 500","no_cost_scale","hk01",0.0014,0.0019,"hk01",0.0019,0.77,1
"base","heavy_tailed","random_05","500 x 1500","default","jv",0.0061,0.0079,"jv",0.0079,0.77,1
"base","constant","random_01","500 x 1500","no_cost_scale","hk01",0.0051,0.0072,"hk01",0.0072,0.71,1
"base","int_uniform","random_60","500 x 5000","default","jv",0.0254,0.0366,"hungarian",0.0364,0.7,1
"base","metric_uniform","block_4","500 x 1500","default","jv",0.0037,0.0056,"jv",0.0056,0.66,1
"base","constant","random_01","500 x 5000","no_cost_scale","hk01",0.0159,0.0271,"hk01",0.0271,0.59,1
"large","binary","random_01","1000 x 10000","no_cost_scale","hk01",0.0815,NA,"sap",0.326,0.25,NA
"large","binary","random_01","1500 x 4500","no_cost_scale","hk01",0.0624,NA,"sap",0.3791,0.16,NA
"large","binary","random_01","1500 x 1500","no_cost_scale","hk01",0.0201,NA,"sap",0.1929,0.1,NA
"large","binary","random_25","1000 x 10000","no_cost_scale","hk01",0.1425,NA,"sap",2.0506,0.07,NA
"large","binary","random_25","1500 x 4500","no_cost_scale","hk01",0.0941,NA,"sap",1.9931,0.05,NA
"large","binary","none","1000 x 10000","no_cost_scale","hk01",0.1737,NA,"jv",5.3031,0.03,NA
"large","binary","none","1500 x 1500","no_cost_scale","hk01",0.0391,NA,"jv",1.4799,0.03,NA
"large","binary","random_25","1500 x 1500","no_cost_scale","hk01",0.0267,NA,"sap",0.8122,0.03,NA
"large","binary","none","1500 x 4500","no_cost_scale","hk01",0.1189,NA,"jv",5.0829,0.02,NA
