"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","constant","random_01",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3546168,0.3543096,0.35466095
"base","constant","random_05",500,1500,"auction_gs","hk01","no_cost_scale",3,0.0318668,0.03185319,0.03190782
"base","constant","random_05",500,500,"auction_gs","hk01","no_cost_scale",3,0.001662468,0.001661976,0.001671734
"base","constant","random_05",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3587249,0.35805635,0.37087895
"base","constant","random_25",500,1500,"auction_gs","hk01","no_cost_scale",3,0.03801754,0.03800991,0.03805214
"base","constant","random_25",500,500,"auction_gs","hk01","no_cost_scale",3,0.003490904,0.0034621015,0.0035179435
"base","constant","random_25",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3983856,0.38752365,0.3999765
"base","constant","random_60",500,1500,"auction_gs","hk01","no_cost_scale",3,0.04464605,0.044618335,0.04483184
"base","constant","random_60",500,500,"auction_gs","hk01","no_cost_scale",3,0.005353739,0.005340291,0.005438404
"base","constant","random_60",500,5000,"auction_gs","hk01","no_cost_scale",3,0.4225944,0.42192105,0.4227624
"base","dbl_uniform","block_4",500,1500,"auction_gs","jv","default",3,0.115664,0.11513075,0.11744845
"base","dbl_uniform","block_4",500,500,"auction_gs","jv","default",3,0.002827196,0.0027889635,0.002986112
"base","dbl_uniform","block_4",500,5000,"auction_gs","jv","default",3,1.70253,1.6472955,1.709511
"base","dbl_uniform","none",500,1500,"auction_gs","jv","default",3,0.151042,0.1494641,0.15220075
"base","dbl_uniform","none",500,500,"auction_gs","jv","default",3,0.00809258,0.0078853865,0.00941811
"base","dbl_uniform","none",500,5000,"auction_gs","jv","default",3,1.738513,1.6381265,1.771473
"base","dbl_uniform","random_01",500,1500,"auction_gs","jv","default",3,0.08944962,0.08593508,0.093244335
"base","dbl_uniform","random_01",500,500,"auction_gs","jv","default",3,0.001512326,0.00150183,0.001525897
"base","dbl_uniform","random_01",500,5000,"auction_gs","jv","default",3,1.057395,1.035777,1.163837
"base","dbl_uniform","random_05",500,1500,"auction_gs","jv","default",3,0.09884178,0.09370499,0.10226614
"base","dbl_uniform","random_05",500,500,"auction_gs","jv","default",3,0.002089524,0.0020714635,0.0021170555
"base","dbl_uniform","random_05",500,5000,"auction_gs","jv","default",3,1.4359,1.4149485,1.640725
"base","dbl_uniform","random_25",500,1500,"auction_gs","jv","default",3,0.1290785,0.12705295,0.13300665
"base","dbl_uniform","random_25",500,500,"auction_gs","jv","default",3,0.00455059,0.0045020255,0.0047766025
"base","dbl_uniform","random_25",500,5000,"auction_gs","jv","default",3,1.704833,1.678705,1.7525065
"base","dbl_uniform","random_60",500,1500,"auction_gs","jv","default",3,0.1421263,0.13586435,0.14213825
"base","dbl_uniform","random_60",500,500,"auction_gs","jv","default",3,0.008082781,0.007931204,0.0080963315
"base","dbl_uniform","random_60",500,5000,"auction_gs","jv","default",3,1.433095,1.419671,1.7106465
"base","heavy_tailed","block_4",500,1500,"auction_gs","jv","default",3,0.1926458,0.1909909,0.19386555
"base","heavy_tailed","block_4",500,500,"auction_gs","jv","default",3,0.007278648,0.0071329135,0.0074486135
"base","heavy_tailed","block_4",500,5000,"auction_gs","jv","default",3,4.225499,3.4594775,4.980447
"base","heavy_tailed","none",500,1500,"auction_gs","jv","default",3,0.3765549,0.31756295,0.462421
"base","heavy_tailed","none",500,500,"auction_gs","jv","default",3,0.02752191,0.026410785,0.028422245
"base","heavy_tailed","none",500,5000,"auction_gs","jv","default",3,13.0881,12.25179,15.662195
"base","heavy_tailed","random_01",500,1500,"auction_gs","jv","default",3,0.1896792,0.1768831,0.19288825
"base","heavy_tailed","random_01",500,500,"auction_gs","jv","default",3,0.003009564,0.002869836,0.0031635395
"base","heavy_tailed","random_01",500,5000,"auction_gs","jv","default",3,1.930672,1.9238375,2.168119
"base","heavy_tailed","random_05",500,1500,"auction_gs","jv","default",3,0.16153,0.1572287,0.17105025
"base","heavy_tailed","random_05",500,500,"auction_gs","jv","default",3,0.003841905,0.003820339,0.0038627125
"base","heavy_tailed","random_05",500,5000,"auction_gs","jv","default",3,1.739039,1.718063,1.77823
"base","heavy_tailed","random_25",500,1500,"auction_gs","jv","default",3,0.1741791,0.16817955,0.1876983
"base","heavy_tailed","random_25",500,500,"auction_gs","jv","default",3,0.009337545,0.009195111,0.0096933625
"base","heavy_tailed","random_25",500,5000,"auction_gs","jv","default",3,1.898193,1.819795,2.2020785
"base","heavy_tailed","random_60",500,1500,"auction_gs","jv","default",3,0.2334902,0.2231596,0.2847892
"base","heavy_tailed","random_60",500,500,"auction_gs","jv","default",3,0.01742221,0.01682925,0.017431005
"base","heavy_tailed","random_60",500,5000,"auction_gs","jv","default",3,5.744683,4.663626,5.9464835
"base","int_uniform","block_4",500,1500,"auction_gs","jv","default",3,0.1304208,0.11840085,0.1364079
"base","int_uniform","block_4",500,500,"auction_gs","jv","default",3,0.002790296,0.0027459545,0.0028393525
"base","int_uniform","block_4",500,5000,"auction_gs","jv","default",3,1.692563,1.6496615,1.738339
"base","int_uniform","none",500,1500,"auction_gs","jv","default",3,0.1475214,0.14446,0.1490852
"base","int_uniform","none",500,500,"auction_gs","jv","default",3,0.008847595,0.0087628275,0.00922746
"base","int_uniform","none",500,5000,"auction_gs","jv","default",3,1.789766,1.7778995,1.810046
"base","int_uniform","random_01",500,1500,"auction_gs","jv","default",3,0.09143828,0.08975431,0.10063944
"base","int_uniform","random_01",500,500,"auction_gs","jv","default",3,0.001554187,0.001519911,0.001561772
"base","int_uniform","random_01",500,5000,"auction_gs","jv","default",3,1.236486,1.204623,1.400512
"base","int_uniform","random_05",500,1500,"auction_gs","jv","default",3,0.09957658,0.090613795,0.10268059
"base","int_uniform","random_05",500,500,"auction_gs","jv","default",3,0.002092025,0.0020728165,0.0020961865
"base","int_uniform","random_05",500,5000,"auction_gs","jv","default",3,1.711257,1.6088575,1.7672905
"base","int_uniform","random_25",500,1500,"auction_gs","jv","default",3,0.1210718,0.115804,0.1252389
"base","int_uniform","random_25",500,500,"auction_gs","jv","default",3,0.004657149,0.004568302,0.004855384
"base","int_uniform","random_25",500,5000,"auction_gs","jv","default",3,1.684593,1.611505,1.728667
"base","int_uniform","random_60",500,1500,"auction_gs","jv","default",3,0.1291293,0.1228091,0.14622665
"base","int_uniform","random_60",500,500,"auction_gs","jv","default",3,0.008139812,0.007779545,0.0081998565
"base","int_uniform","random_60",500,5000,"auction_gs","jv","default",3,1.524374,1.4901385,1.6267695
"base","metric_clustered","block_4",500,1500,"auction_gs","jv","default",3,0.1270507,0.12700815,0.1339594
"base","metric_clustered","block_4",500,500,"auction_gs","jv","default",3,0.00316069,0.003126578,0.0032262285
"base","metric_clustered","block_4",500,5000,"auction_gs","jv","default",3,1.43319,1.4055285,1.491193
"base","metric_clustered","none",500,1500,"auction_gs","jv","default",3,0.1328056,0.1295435,0.13344845
"base","metric_clustered","none",500,500,"auction_gs","jv","default",3,0.009441931,0.00910364,0.0098058455
"base","metric_clustered","none",500,5000,"auction_gs","jv","default",3,1.401092,1.3984745,1.549252
"base","metric_clustered","random_01",500,1500,"auction_gs","jv","default",3,0.1218475,0.106517575,0.1314809
"base","metric_clustered","random_01",500,500,"auction_gs","jv","default",3,0.001550825,0.001487644,0.0015660975
"base","metric_clustered","random_01",500,5000,"auction_gs","jv","default",3,1.210442,1.2071365,1.2766665
"base","metric_clustered","random_05",500,1500,"auction_gs","jv","default",3,0.1202861,0.10987896,0.1319929
"base","metric_clustered","random_05",500,500,"auction_gs","jv","default",3,0.00225459,0.0022516585,0.0022580545
"base","metric_clustered","random_05",500,5000,"auction_gs","jv","default",3,1.383142,1.282048,1.5711695
"base","metric_clustered","random_25",500,1500,"auction_gs","jv","default",3,0.1317143,0.13091885,0.1348472
"base","metric_clustered","random_25",500,500,"auction_gs","jv","default",3,0.005101261,0.0049430215,0.0051439215
"base","metric_clustered","random_25",500,5000,"auction_gs","jv","default",3,1.533809,1.4703035,1.54115
"base","metric_clustered","random_60",500,1500,"auction_gs","jv","default",3,0.132067,0.12383715,0.13816245
"base","metric_clustered","random_60",500,500,"auction_gs","jv","default",3,0.008431814,0.0084153935,0.0085722595
"base","metric_clustered","random_60",500,5000,"auction_gs","jv","default",3,1.310264,1.2404085,1.645917
"base","metric_uniform","block_4",500,1500,"auction_gs","jv","default",3,0.0958942,0.087927615,0.09665465
"base","metric_uniform","block_4",500,500,"auction_gs","jv","default",3,0.002607067,0.002528347,0.002641999
"base","metric_uniform","block_4",500,5000,"auction_gs","jv","default",3,1.288247,1.1889345,1.3208465
"base","metric_uniform","none",500,1500,"auction_gs","jv","default",3,0.1122833,0.10498749,0.11254395
"base","metric_uniform","none",500,500,"auction_gs","jv","default",3,0.006683082,0.00659649,0.0078364325
"base","metric_uniform","none",500,5000,"auction_gs","jv","default",3,1.219023,1.111962,1.2450795
"base","metric_uniform","random_01",500,1500,"auction_gs","jv","default",3,0.1013112,0.09517955,0.11064255
"base","metric_uniform","random_01",500,500,"auction_gs","jv","default",3,0.001544675,0.001489735,0.001577475
"base","metric_uniform","random_01",500,5000,"auction_gs","jv","default",3,1.317699,1.2497055,1.5593475
"base","metric_uniform","random_05",500,1500,"auction_gs","jv","default",3,0.1117801,0.099117315,0.11260395
"base","metric_uniform","random_05",500,500,"auction_gs","jv","default",3,0.002071976,0.002064473,0.0021018445
"base","metric_uniform","random_05",500,5000,"auction_gs","jv","default",3,1.193837,1.143986,1.2484085
"base","metric_uniform","random_25",500,1500,"auction_gs","jv","default",3,0.1008789,0.098978675,0.1018701
"base","metric_uniform","random_25",500,500,"auction_gs","jv","default",3,0.004007299,0.0040065815,0.0040315505
"base","metric_uniform","random_25",500,5000,"auction_gs","jv","default",3,1.288581,1.2648725,1.293785
"base","metric_uniform","random_60",500,1500,"auction_gs","jv","default",3,0.1121352,0.1101154,0.1193531
"base","metric_uniform","random_60",500,500,"auction_gs","jv","default",3,0.006727321,0.0067209865,0.006734455
"base","metric_uniform","random_60",500,5000,"auction_gs","jv","default",3,1.248744,1.247441,1.286631
"base","tied","block_4",500,1500,"auction_gs","jv","default",3,0.04499533,0.04420938,0.045021525
"base","tied","block_4",500,500,"auction_gs","jv","default",3,0.003203822,0.003135803,0.0032451295
"base","tied","block_4",500,5000,"auction_gs","jv","default",3,0.4196462,0.41919415,0.4227192
"base","tied","none",500,1500,"auction_gs","jv","default",3,0.06030965,0.06020678,0.062374985
"base","tied","none",500,500,"auction_gs","jv","default",3,0.009693794,0.0090489665,0.0098165275
"base","tied","none",500,5000,"auction_gs","jv","default",3,0.5752866,0.57507895,0.587905
"base","tied","random_01",500,1500,"auction_gs","jv","default",3,0.07854997,0.077218885,0.08323414
"base","tied","random_01",500,500,"auction_gs","jv","default",3,0.001562059,0.001493917,0.00157809
"base","tied","random_01",500,5000,"auction_gs","jv","default",3,0.5955964,0.54300395,0.60955715
"base","tied","random_05",500,1500,"auction_gs","jv","default",3,0.0437233,0.0435002,0.04386065
"base","tied","random_05",500,500,"auction_gs","jv","default",3,0.002784187,0.0026653895,0.0028881015
