"tier","regime","pattern","shape","auto_rule","auto_picks","auto_s","picked_s","best_method","best_s","ratio","picked_ratio"
"base","metric_clustered","random_25","500 x 1500","sparse","lapmod",0.0074,0.0074,"jv",0.0066,1.12,1.12
"large","int_uniform","random_25","1000 x 10000","sparse","lapmod",0.1219,0.1213,"jv",0.1084,1.12,1.12
"large","int_uniform","random_25","1500 x 4500","sparse","lapmod",0.0873,0.0885,"jv",0.078,1.12,1.13
"large","heavy_tailed","random_25","1000 x 10000","sparse","lapmod",0.1232,0.123,"jv",0.1113,1.11,1.1
"base","int_uniform","random_60","500 x 500","default","jv",0.0088,0.0088,"auction_scaled",0.0082,1.08,1.08
"large","metric_clustered","random_25","1500 x 4500","sparse","lapmod",0.0905,0.1018,"jv",0.0874,1.04,1.16
"base","binary","random_60","500 x 500","no_cost_scale","hk01",0.0043,0.0043,"hk01",0.0043,1.02,1
"base","int_uniform","none","500 x 500","default","jv",0.0045,0.0045,"jv",0.0045,1.02,1
"base","binary","block_4","500 x 500","no_cost_scale","hk01",0.0017,0.0017,"hk01",0.0017,1.01,1
"base","binary","none","500 x 500","no_cost_scale","hk01",0.0035,0.0035,"hk01",0.0035,1.01,1
"base","binary","random_60","500 x 1500","no_cost_scale","hk01",0.0123,0.0122,"hk01",0.0122,1.01,1
"base","constant","none","500 x 1500","no_cost_scale","hk01",0.005,0.005,"hk01",0.005,1.01,1
"base","constant","none","500 x 5000","no_cost_scale","hk01",0.0166,0.0165,"hk01",0.0165,1.01,1
"base","dbl_uniform","none","500 x 500","default","jv",0.0032,0.0032,"jv",0.0032,1.01,1
"base","binary","block_4","500 x 1500","no_cost_scale","hk01",0.0047,0.0047,"hk01",0.0047,1,1
"base","binary","block_4","500 x 5000","no_cost_scale","hk01",0.0159,0.016,"hk01",0.016,1,1
"base","binary","none","500 x 1500","no_cost_scale","hk01",0.01,0.01,"hk01",0.01,1,1
"base","binary","none","500 x 5000","no_cost_scale","hk01",0.0337,0.0338,"hk01",0.0338,1,1
"base","binary","random_25","500 x 1500","no_cost_scale","hk01",0.008,0.0079,"hk01",0.0079,1,1
"base","binary","random_25","500 x 500","no_cost_scale","hk01",0.0027,0.0027,"hk01",0.0027,1,1
"base","binary","random_25","500 x 5000","no_cost_scale","hk01",0.0266,0.0266,"hk01",0.0266,1,1
"base","binary","random_60","500 x 5000","no_cost_scale","hk01",0.0416,0.0416,"hk01",0.0416,1,1
"base","constant","block_4","500 x 1500","no_cost_scale","hk01",0.0035,0.0035,"hk01",0.0035,1,1
"base","constant","block_4","500 x 500","no_cost_scale","hk01",0.0013,0.0012,"hk01",0.0012,1,1
"base","constant","block_4","500 x 5000","no_cost_scale","hk01",0.012,0.0121,"hk01",0.0121,1,1
"base","constant","none","500 x 500","no_cost_scale","hk01",0.0017,0.0017,"hk01",0.0017,1,1
"base","constant","random_25","500 x 1500","no_cost_scale","hk01",0.0067,0.0067,"hk01",0.0067,1,1
"base","constant","random_25","500 x 500","no_cost_scale","hk01",0.0024,0.0023,"hk01",0.0023,1,1
"base","constant","random_60","500 x 1500","no_cost_scale","hk01",0.0092,0.0091,"hk01",0.0091,1,1
"base","constant","random_60","500 x 500","no_cost_scale","hk01",0.0032,0.0032,"hk01",0.0032,1,1
"base","constant","random_60","500 x 5000","no_cost_scale","hk01",0.0305,0.0305,"hk01",0.0305,1,1
"base","heavy_tailed","none","500 x 500","default","jv",0.0036,0.0036,"jv",0.0036,1,1
"base","heavy_tailed","random_60","500 x 500","default","jv",0.0086,0.0086,"jv",0.0086,1,1
"base","metric_clustered","none","500 x 500","default","jv",0.0063,0.0062,"jv",0.0062,1,1
"base","metric_uniform","none","500 x 500","default","jv",0.0057,0.0057,"jv",0.0057,1,1
"large","heavy_tailed","none","1500 x 1500","default","jv",0.0503,0.0504,"jv",0.0504,1,1
"large","heavy_tailed","random_25","1500 x 4500","sparse","lapmod",0.0852,0.0851,"lapmod",0.0851,1,1
"large","int_uniform","none","1500 x 1500","default","jv",0.0439,0.0438,"jv",0.0438,1,1
"large","metric_clustered","none","1500 x 1500","default","jv",0.1531,0.1532,"jv",0.1532,1,1
"base","constant","random_25","500 x 5000","no_cost_scale","hk01",0.022,0.0221,"hk01",0.0221,0.99,1
"large","dbl_uniform","none","1500 x 1500","default","jv",0.0505,0.0508,"jv",0.0508,0.99,1
"large","dbl_uniform","random_25","1500 x 4500","sparse","lapmod",0.0883,0.0929,"lapmod",0.0929,0.95,1
"base","metric_clustered","random_25","500 x 5000","sparse","lapmod",0.0232,0.032,"jv",0.0266,0.87,1.2
"base","metric_uniform","block_4","500 x 5000","sparse","lapmod",0.0135,0.0202,"hungarian",0.0182,0.74,1.11
"large","binary","random_25","1000 x 10000","no_cost_scale","hk01",0.1361,NA,"sap",2.047,0.07,NA
"large","binary","random_25","1500 x 4500","no_cost_scale","hk01",0.0939,NA,"sap",1.9837,0.05,NA
"large","binary","none","1000 x 10000","no_cost_scale","hk01",0.1684,NA,"jv",5.3063,0.03,NA
"large","binary","random_25","1500 x 1500","no_cost_scale","hk01",0.0268,NA,"sap",0.8103,0.03,NA
"large","binary","none","1500 x 1500","no_cost_scale","hk01",0.0368,NA,"jv",1.4925,0.02,NA
"large","binary","none","1500 x 4500","no_cost_scale","hk01",0.1155,NA,"jv",5.1138,0.02,NA
